date,price,volume,item
Apr 21 2015 01: +0,18.522,27,Galil AR | Chatterbox (Field-Tested)
Apr 22 2015 01: +0,18.342,14,Galil AR | Chatterbox (Field-Tested)
Apr 23 2015 01: +0,17.81,22,Galil AR | Chatterbox (Field-Tested)
Apr 24 2015 01: +0,17.727,21,Galil AR | Chatterbox (Field-Tested)
Apr 25 2015 01: +0,18.105,19,Galil AR | Chatterbox (Field-Tested)
Apr 26 2015 01: +0,17.079,19,Galil AR | Chatterbox (Field-Tested)
Apr 27 2015 01: +0,17.633,14,Galil AR | Chatterbox (Field-Tested)
Apr 28 2015 01: +0,17.725,12,Galil AR | Chatterbox (Field-Tested)
Apr 29 2015 01: +0,17.779,14,Galil AR | Chatterbox (Field-Tested)
Apr 30 2015 01: +0,18.117,28,Galil AR | Chatterbox (Field-Tested)
May 01 2015 01: +0,16.691,27,Galil AR | Chatterbox (Field-Tested)
May 02 2015 01: +0,19.599,16,Galil AR | Chatterbox (Field-Tested)
May 03 2015 01: +0,17.993,24,Galil AR | Chatterbox (Field-Tested)
May 04 2015 01: +0,17.56,15,Galil AR | Chatterbox (Field-Tested)
May 05 2015 01: +0,17.222,25,Galil AR | Chatterbox (Field-Tested)
May 06 2015 01: +0,19.956,15,Galil AR | Chatterbox (Field-Tested)
May 07 2015 01: +0,19.444,14,Galil AR | Chatterbox (Field-Tested)
May 08 2015 01: +0,19.053,13,Galil AR | Chatterbox (Field-Tested)
May 09 2015 01: +0,18.123,23,Galil AR | Chatterbox (Field-Tested)
May 10 2015 01: +0,18.878,25,Galil AR | Chatterbox (Field-Tested)
May 11 2015 01: +0,17.831,14,Galil AR | Chatterbox (Field-Tested)
May 12 2015 01: +0,18.65,11,Galil AR | Chatterbox (Field-Tested)
May 13 2015 01: +0,18.022,17,Galil AR | Chatterbox (Field-Tested)
May 14 2015 01: +0,17.852,22,Galil AR | Chatterbox (Field-Tested)
May 15 2015 01: +0,17.724,20,Galil AR | Chatterbox (Field-Tested)
