date,price,volume,sticker
Oct 08 2022 01: +0,0.03,5841,Sticker | FaZe Clan | Antwerp 2022
Oct 09 2022 01: +0,0.03,4248,Sticker | FaZe Clan | Antwerp 2022
Oct 10 2022 01: +0,0.03,3588,Sticker | FaZe Clan | Antwerp 2022
Oct 11 2022 01: +0,0.03,3542,Sticker | FaZe Clan | Antwerp 2022
Oct 12 2022 01: +0,0.03,2411,Sticker | FaZe Clan | Antwerp 2022
Oct 13 2022 01: +0,0.03,4473,Sticker | FaZe Clan | Antwerp 2022
Oct 14 2022 01: +0,0.03,2594,Sticker | FaZe Clan | Antwerp 2022
Oct 15 2022 01: +0,0.03,5060,Sticker | FaZe Clan | Antwerp 2022
Oct 16 2022 01: +0,0.03,4486,Sticker | FaZe Clan | Antwerp 2022
Oct 17 2022 01: +0,0.03,3363,Sticker | FaZe Clan | Antwerp 2022
Oct 18 2022 01: +0,0.03,4559,Sticker | FaZe Clan | Antwerp 2022
Oct 19 2022 01: +0,0.03,3329,Sticker | FaZe Clan | Antwerp 2022
Oct 20 2022 01: +0,0.03,3034,Sticker | FaZe Clan | Antwerp 2022
Oct 21 2022 01: +0,0.03,4639,Sticker | FaZe Clan | Antwerp 2022
Oct 22 2022 01: +0,0.03,7998,Sticker | FaZe Clan | Antwerp 2022
Oct 23 2022 01: +0,0.03,5044,Sticker | FaZe Clan | Antwerp 2022
Oct 24 2022 01: +0,0.03,3567,Sticker | FaZe Clan | Antwerp 2022
Oct 25 2022 01: +0,0.03,3019,Sticker | FaZe Clan | Antwerp 2022
Oct 26 2022 01: +0,0.03,3361,Sticker | FaZe Clan | Antwerp 2022
Oct 27 2022 01: +0,0.03,3975,Sticker | FaZe Clan | Antwerp 2022
Oct 28 2022 01: +0,0.03,4928,Sticker | FaZe Clan | Antwerp 2022
Oct 29 2022 01: +0,0.03,3310,Sticker | FaZe Clan | Antwerp 2022
Oct 30 2022 01: +0,0.03,4130,Sticker | FaZe Clan | Antwerp 2022
Oct 31 2022 01: +0,0.03,2688,Sticker | FaZe Clan | Antwerp 2022
Nov 01 2022 01: +0,0.03,3203,Sticker | FaZe Clan | Antwerp 2022
Nov 02 2022 01: +0,0.03,3027,Sticker | FaZe Clan | Antwerp 2022
Nov 03 2022 01: +0,0.03,2695,Sticker | FaZe Clan | Antwerp 2022
Nov 04 2022 01: +0,0.03,3286,Sticker | FaZe Clan | Antwerp 2022
Nov 05 2022 01: +0,0.03,3500,Sticker | FaZe Clan | Antwerp 2022
Nov 06 2022 01: +0,0.03,4175,Sticker | FaZe Clan | Antwerp 2022
Nov 07 2022 01: +0,0.03,3796,Sticker | FaZe Clan | Antwerp 2022
Nov 08 2022 01: +0,0.03,3121,Sticker | FaZe Clan | Antwerp 2022
Nov 09 2022 01: +0,0.03,3657,Sticker | FaZe Clan | Antwerp 2022
Nov 10 2022 01: +0,0.03,3664,Sticker | FaZe Clan | Antwerp 2022
Nov 11 2022 01: +0,0.03,3450,Sticker | FaZe Clan | Antwerp 2022
Nov 12 2022 01: +0,0.03,3891,Sticker | FaZe Clan | Antwerp 2022
Nov 13 2022 01: +0,0.03,4119,Sticker | FaZe Clan | Antwerp 2022
Nov 14 2022 01: +0,0.03,2806,Sticker | FaZe Clan | Antwerp 2022
Nov 15 2022 01: +0,0.03,3823,Sticker | FaZe Clan | Antwerp 2022
Nov 16 2022 01: +0,0.03,2992,Sticker | FaZe Clan | Antwerp 2022
Nov 17 2022 01: +0,0.03,2076,Sticker | FaZe Clan | Antwerp 2022
Nov 18 2022 01: +0,0.03,2597,Sticker | FaZe Clan | Antwerp 2022
Nov 19 2022 01: +0,0.03,3774,Sticker | FaZe Clan | Antwerp 2022
Nov 20 2022 01: +0,0.03,3665,Sticker | FaZe Clan | Antwerp 2022
Nov 21 2022 01: +0,0.03,2110,Sticker | FaZe Clan | Antwerp 2022
Nov 22 2022 01: +0,0.03,2256,Sticker | FaZe Clan | Antwerp 2022
Nov 23 2022 01: +0,0.03,2987,Sticker | FaZe Clan | Antwerp 2022
Nov 24 2022 01: +0,0.03,3963,Sticker | FaZe Clan | Antwerp 2022
Nov 25 2022 01: +0,0.03,2799,Sticker | FaZe Clan | Antwerp 2022
Nov 26 2022 01: +0,0.03,2532,Sticker | FaZe Clan | Antwerp 2022
Nov 27 2022 01: +0,0.03,2978,Sticker | FaZe Clan | Antwerp 2022
Nov 28 2022 01: +0,0.03,2992,Sticker | FaZe Clan | Antwerp 2022
Nov 29 2022 01: +0,0.03,2014,Sticker | FaZe Clan | Antwerp 2022
Nov 30 2022 01: +0,0.03,1810,Sticker | FaZe Clan | Antwerp 2022
Dec 01 2022 01: +0,0.03,1922,Sticker | FaZe Clan | Antwerp 2022
