date,price,volume,item
Oct 02 2020 01: +0,915.927,1,★ Paracord Knife | Fade (Factory New)
Oct 03 2020 01: +0,801.183,1,★ Paracord Knife | Fade (Factory New)
Oct 04 2020 01: +0,810.421,1,★ Paracord Knife | Fade (Factory New)
Oct 07 2020 01: +0,880.767,1,★ Paracord Knife | Fade (Factory New)
Oct 08 2020 01: +0,918.491,1,★ Paracord Knife | Fade (Factory New)
Oct 10 2020 01: +0,861.736,1,★ Paracord Knife | Fade (Factory New)
Oct 11 2020 01: +0,883.463,2,★ Paracord Knife | Fade (Factory New)
Oct 14 2020 01: +0,789.983,1,★ Paracord Knife | Fade (Factory New)
Oct 15 2020 01: +0,814.666,1,★ Paracord Knife | Fade (Factory New)
Oct 17 2020 01: +0,844.35,1,★ Paracord Knife | Fade (Factory New)
Oct 21 2020 01: +0,767.156,1,★ Paracord Knife | Fade (Factory New)
Oct 22 2020 01: +0,605.942,1,★ Paracord Knife | Fade (Factory New)
Oct 23 2020 01: +0,730.2,1,★ Paracord Knife | Fade (Factory New)
Oct 26 2020 01: +0,689.346,3,★ Paracord Knife | Fade (Factory New)
Oct 27 2020 01: +0,687.513,3,★ Paracord Knife | Fade (Factory New)
Oct 28 2020 01: +0,663.513,1,★ Paracord Knife | Fade (Factory New)
Oct 29 2020 01: +0,698.902,1,★ Paracord Knife | Fade (Factory New)
Oct 30 2020 01: +0,680.044,1,★ Paracord Knife | Fade (Factory New)
Nov 01 2020 01: +0,722.462,3,★ Paracord Knife | Fade (Factory New)
Nov 02 2020 01: +0,683.746,1,★ Paracord Knife | Fade (Factory New)
Nov 05 2020 01: +0,716.86,3,★ Paracord Knife | Fade (Factory New)
Nov 06 2020 01: +0,802.035,1,★ Paracord Knife | Fade (Factory New)
Nov 08 2020 01: +0,677.486,1,★ Paracord Knife | Fade (Factory New)
Nov 09 2020 01: +0,741.535,1,★ Paracord Knife | Fade (Factory New)
Nov 10 2020 01: +0,751.715,3,★ Paracord Knife | Fade (Factory New)
Nov 12 2020 01: +0,686.778,2,★ Paracord Knife | Fade (Factory New)
Nov 14 2020 01: +0,703.592,2,★ Paracord Knife | Fade (Factory New)
Nov 16 2020 01: +0,676.487,2,★ Paracord Knife | Fade (Factory New)
Nov 20 2020 01: +0,718.078,2,★ Paracord Knife | Fade (Factory New)
Nov 22 2020 01: +0,738.512,2,★ Paracord Knife | Fade (Factory New)
Nov 24 2020 01: +0,663.131,1,★ Paracord Knife | Fade (Factory New)
Nov 26 2020 01: +0,643.831,2,★ Paracord Knife | Fade (Factory New)
Nov 27 2020 01: +0,687.232,1,★ Paracord Knife | Fade (Factory New)
Nov 28 2020 01: +0,641.157,1,★ Paracord Knife | Fade (Factory New)
Nov 29 2020 01: +0,621.373,4,★ Paracord Knife | Fade (Factory New)
Nov 30 2020 01: +0,618.732,1,★ Paracord Knife | Fade (Factory New)
Dec 01 2020 01: +0,623.224,2,★ Paracord Knife | Fade (Factory New)
Dec 03 2020 01: +0,653.91,2,★ Paracord Knife | Fade (Factory New)
Dec 04 2020 01: +0,635.986,1,★ Paracord Knife | Fade (Factory New)
Dec 05 2020 01: +0,686.586,2,★ Paracord Knife | Fade (Factory New)
Dec 06 2020 01: +0,552.984,2,★ Paracord Knife | Fade (Factory New)
Dec 07 2020 01: +0,572.271,1,★ Paracord Knife | Fade (Factory New)
Dec 10 2020 01: +0,575.472,1,★ Paracord Knife | Fade (Factory New)
Dec 11 2020 01: +0,566.107,2,★ Paracord Knife | Fade (Factory New)
Dec 12 2020 01: +0,666.339,3,★ Paracord Knife | Fade (Factory New)
Dec 13 2020 01: +0,592.674,1,★ Paracord Knife | Fade (Factory New)
Dec 14 2020 01: +0,696.355,1,★ Paracord Knife | Fade (Factory New)
Dec 17 2020 01: +0,612.245,3,★ Paracord Knife | Fade (Factory New)
Dec 20 2020 01: +0,696.245,1,★ Paracord Knife | Fade (Factory New)
Dec 22 2020 01: +0,673.952,2,★ Paracord Knife | Fade (Factory New)
Dec 23 2020 01: +0,644.137,3,★ Paracord Knife | Fade (Factory New)
Dec 24 2020 01: +0,660.679,4,★ Paracord Knife | Fade (Factory New)
Dec 25 2020 01: +0,651.931,2,★ Paracord Knife | Fade (Factory New)
Dec 26 2020 01: +0,659.365,2,★ Paracord Knife | Fade (Factory New)
Dec 27 2020 01: +0,661.755,2,★ Paracord Knife | Fade (Factory New)
Dec 29 2020 01: +0,647.137,3,★ Paracord Knife | Fade (Factory New)
Dec 30 2020 01: +0,660.881,1,★ Paracord Knife | Fade (Factory New)
Dec 31 2020 01: +0,933.997,1,★ Paracord Knife | Fade (Factory New)
Jan 03 2021 01: +0,733.59,1,★ Paracord Knife | Fade (Factory New)
Jan 04 2021 01: +0,669.584,1,★ Paracord Knife | Fade (Factory New)
Jan 06 2021 01: +0,733.091,3,★ Paracord Knife | Fade (Factory New)
Jan 08 2021 01: +0,778.213,1,★ Paracord Knife | Fade (Factory New)
Jan 10 2021 01: +0,718.143,2,★ Paracord Knife | Fade (Factory New)
Jan 11 2021 01: +0,732.836,4,★ Paracord Knife | Fade (Factory New)
Jan 12 2021 01: +0,732.195,2,★ Paracord Knife | Fade (Factory New)
Jan 13 2021 01: +0,691.235,1,★ Paracord Knife | Fade (Factory New)
Jan 14 2021 01: +0,792.826,1,★ Paracord Knife | Fade (Factory New)
Jan 15 2021 01: +0,711.605,1,★ Paracord Knife | Fade (Factory New)
Jan 16 2021 01: +0,707.703,2,★ Paracord Knife | Fade (Factory New)
Jan 18 2021 01: +0,878.797,1,★ Paracord Knife | Fade (Factory New)
Jan 19 2021 01: +0,708.964,1,★ Paracord Knife | Fade (Factory New)
Jan 20 2021 01: +0,719.608,2,★ Paracord Knife | Fade (Factory New)
Jan 21 2021 01: +0,697.09,2,★ Paracord Knife | Fade (Factory New)
Jan 23 2021 01: +0,684.591,2,★ Paracord Knife | Fade (Factory New)
Jan 25 2021 01: +0,696.242,3,★ Paracord Knife | Fade (Factory New)
Jan 26 2021 01: +0,707.087,1,★ Paracord Knife | Fade (Factory New)
Jan 30 2021 01: +0,689.331,2,★ Paracord Knife | Fade (Factory New)
Feb 03 2021 01: +0,653.035,2,★ Paracord Knife | Fade (Factory New)
Feb 04 2021 01: +0,688.213,2,★ Paracord Knife | Fade (Factory New)
Feb 05 2021 01: +0,691.891,2,★ Paracord Knife | Fade (Factory New)
Feb 06 2021 01: +0,691.999,1,★ Paracord Knife | Fade (Factory New)
Feb 08 2021 01: +0,723.619,1,★ Paracord Knife | Fade (Factory New)
Feb 09 2021 01: +0,762.594,4,★ Paracord Knife | Fade (Factory New)
Feb 10 2021 01: +0,759.552,1,★ Paracord Knife | Fade (Factory New)
Feb 11 2021 01: +0,890.992,1,★ Paracord Knife | Fade (Factory New)
Feb 14 2021 01: +0,625.151,1,★ Paracord Knife | Fade (Factory New)
Feb 15 2021 01: +0,707.86,1,★ Paracord Knife | Fade (Factory New)
Feb 16 2021 01: +0,610.331,4,★ Paracord Knife | Fade (Factory New)
Feb 17 2021 01: +0,622.151,1,★ Paracord Knife | Fade (Factory New)
Feb 19 2021 01: +0,658.116,4,★ Paracord Knife | Fade (Factory New)
