date,price,volume,case
Oct 29 2014 01: +0,0.42,42207,Operation Breakout Weapon Case
Oct 30 2014 01: +0,0.413,45009,Operation Breakout Weapon Case
Oct 31 2014 01: +0,0.43,54601,Operation Breakout Weapon Case
Nov 01 2014 01: +0,0.426,52595,Operation Breakout Weapon Case
Nov 02 2014 01: +0,0.396,51840,Operation Breakout Weapon Case
Nov 03 2014 01: +0,0.369,43267,Operation Breakout Weapon Case
Nov 04 2014 01: +0,0.394,44197,Operation Breakout Weapon Case
Nov 05 2014 01: +0,0.391,39678,Operation Breakout Weapon Case
Nov 06 2014 01: +0,0.383,41597,Operation Breakout Weapon Case
Nov 07 2014 01: +0,0.38,46468,Operation Breakout Weapon Case
Nov 08 2014 01: +0,0.364,50637,Operation Breakout Weapon Case
Nov 09 2014 01: +0,0.315,48066,Operation Breakout Weapon Case
Nov 10 2014 01: +0,0.316,43199,Operation Breakout Weapon Case
Nov 11 2014 01: +0,0.315,41603,Operation Breakout Weapon Case
Nov 12 2014 01: +0,0.199,53713,Operation Breakout Weapon Case
Nov 13 2014 01: +0,0.163,46535,Operation Breakout Weapon Case
Nov 14 2014 01: +0,0.204,46625,Operation Breakout Weapon Case
Nov 15 2014 01: +0,0.185,47054,Operation Breakout Weapon Case
Nov 16 2014 01: +0,0.152,44323,Operation Breakout Weapon Case
Nov 17 2014 01: +0,0.145,36221,Operation Breakout Weapon Case
Nov 18 2014 01: +0,0.151,35332,Operation Breakout Weapon Case
Nov 19 2014 01: +0,0.134,28232,Operation Breakout Weapon Case
Nov 20 2014 01: +0,0.118,30309,Operation Breakout Weapon Case
Nov 21 2014 01: +0,0.109,34252,Operation Breakout Weapon Case
Nov 22 2014 01: +0,0.101,38047,Operation Breakout Weapon Case
Nov 23 2014 01: +0,0.094,36040,Operation Breakout Weapon Case
Nov 24 2014 01: +0,0.098,31543,Operation Breakout Weapon Case
Nov 25 2014 01: +0,0.107,34098,Operation Breakout Weapon Case
Nov 26 2014 01: +0,0.105,34703,Operation Breakout Weapon Case
Nov 27 2014 01: +0,0.103,39206,Operation Breakout Weapon Case
Nov 28 2014 01: +0,0.11,46555,Operation Breakout Weapon Case
Nov 29 2014 01: +0,0.107,45724,Operation Breakout Weapon Case
Nov 30 2014 01: +0,0.094,49990,Operation Breakout Weapon Case
Dec 01 2014 01: +0,0.102,41104,Operation Breakout Weapon Case
Dec 02 2014 01: +0,0.105,38799,Operation Breakout Weapon Case
Dec 03 2014 01: +0,0.113,36887,Operation Breakout Weapon Case
Dec 04 2014 01: +0,0.115,36499,Operation Breakout Weapon Case
Dec 05 2014 01: +0,0.122,44880,Operation Breakout Weapon Case
Dec 06 2014 01: +0,0.126,53574,Operation Breakout Weapon Case
Dec 07 2014 01: +0,0.127,51041,Operation Breakout Weapon Case
Dec 08 2014 01: +0,0.128,44712,Operation Breakout Weapon Case
Dec 09 2014 01: +0,0.14,43538,Operation Breakout Weapon Case
Dec 10 2014 01: +0,0.14,42123,Operation Breakout Weapon Case
Dec 11 2014 01: +0,0.134,44199,Operation Breakout Weapon Case
Dec 12 2014 01: +0,0.13,48538,Operation Breakout Weapon Case
Dec 13 2014 01: +0,0.121,55525,Operation Breakout Weapon Case
Dec 14 2014 01: +0,0.109,52145,Operation Breakout Weapon Case
Dec 15 2014 01: +0,0.107,42912,Operation Breakout Weapon Case
Dec 16 2014 01: +0,0.111,45558,Operation Breakout Weapon Case
Dec 17 2014 01: +0,0.106,44169,Operation Breakout Weapon Case
Dec 18 2014 01: +0,0.107,45156,Operation Breakout Weapon Case
Dec 19 2014 01: +0,0.115,55570,Operation Breakout Weapon Case
Dec 20 2014 01: +0,0.108,54138,Operation Breakout Weapon Case
Dec 21 2014 01: +0,0.103,55404,Operation Breakout Weapon Case
Dec 22 2014 01: +0,0.102,56365,Operation Breakout Weapon Case
Dec 23 2014 01: +0,0.113,59950,Operation Breakout Weapon Case
Dec 24 2014 01: +0,0.13,74267,Operation Breakout Weapon Case
Dec 25 2014 01: +0,0.189,90511,Operation Breakout Weapon Case
Dec 26 2014 01: +0,0.213,79864,Operation Breakout Weapon Case
Dec 27 2014 01: +0,0.214,81553,Operation Breakout Weapon Case
Dec 28 2014 01: +0,0.172,68977,Operation Breakout Weapon Case
Dec 29 2014 01: +0,0.17,77032,Operation Breakout Weapon Case
Dec 30 2014 01: +0,0.188,82555,Operation Breakout Weapon Case
Dec 31 2014 01: +0,0.209,72664,Operation Breakout Weapon Case
Jan 01 2015 01: +0,0.216,68912,Operation Breakout Weapon Case
Jan 02 2015 01: +0,0.208,86772,Operation Breakout Weapon Case
Jan 03 2015 01: +0,0.212,80577,Operation Breakout Weapon Case
Jan 04 2015 01: +0,0.208,78949,Operation Breakout Weapon Case
Jan 05 2015 01: +0,0.199,74923,Operation Breakout Weapon Case
Jan 06 2015 01: +0,0.196,67719,Operation Breakout Weapon Case
Jan 07 2015 01: +0,0.188,65026,Operation Breakout Weapon Case
Jan 08 2015 01: +0,0.189,72462,Operation Breakout Weapon Case
Jan 09 2015 01: +0,0.176,88587,Operation Breakout Weapon Case
Jan 10 2015 01: +0,0.154,86744,Operation Breakout Weapon Case
Jan 11 2015 01: +0,0.139,85245,Operation Breakout Weapon Case
Jan 12 2015 01: +0,0.133,71127,Operation Breakout Weapon Case
Jan 13 2015 01: +0,0.139,73279,Operation Breakout Weapon Case
Jan 14 2015 01: +0,0.141,72930,Operation Breakout Weapon Case
Jan 15 2015 01: +0,0.139,68885,Operation Breakout Weapon Case
Jan 16 2015 01: +0,0.13,73716,Operation Breakout Weapon Case
Jan 17 2015 01: +0,0.121,80317,Operation Breakout Weapon Case
Jan 18 2015 01: +0,0.105,73577,Operation Breakout Weapon Case
Jan 19 2015 01: +0,0.1,65382,Operation Breakout Weapon Case
Jan 20 2015 01: +0,0.099,60940,Operation Breakout Weapon Case
Jan 21 2015 01: +0,0.097,57744,Operation Breakout Weapon Case
